Reg,ebv,ebverr,age,ageerr,met,meterr,less5Myrs,more20Myrs
1,0.177593062262691,0.00398611545981386,3.65048681929052,0.558012848238172,0.876166258366604,0.0087377095192186,0.82,0.18
2,0.172138298987285,0.00412541877818452,2.75761870201952,0.192399062884926,0.880733045754223,0.00565794292275184,0.87,0.13
4,0.257714001887329,0.0195526427915727,4.14640140737027,2.38324079506447,0.513384609716185,0.0652704719119112,0.75,0
5,0.250556458579615,0.0164485945577747,5.57843535637715,4.02742419869838,0.473030152496028,0.0389281150534098,0.9,0.1
6,0.310716187207486,0.0200594166899371,1.82738851193515,2.05544408038976,0.601097929660797,0.0342658931928474,0.92,0
7,0.182070388010585,0.00531566017615329,4.30245553494479,0.99834887760954,0.520037083731998,0.0156232050462167,0.65,0
8,0.158635126556536,0.00558010674079184,2.4015040840548,0.963651431534372,0.548992614955604,0.0163003552727719,0.84,0
9,0.191814585895116,0.0149665042655661,7.13567717434199,3.40104796031102,0.28053737434653,0.0729833415326814,0.5,0
10,0.149556214585167,0.00697870955680663,12.1909722345222,3.04600771987772,0.216970534643122,0.0214335894343631,0.5,0.5
